"","Year","Region","MPA_Group","Designation","Longitude","Latitude","Acorn.barnacle","Aggregated.nipple.sponge","Basket.star","Bat.star","Bat.star.red.sea.star.complex","Benthic.siphonophore","Blood.star","Boot.sponge","Brown.box.crab","Brown.gorgonian","California.golden.gorgonian","California.hydrocoral","California.market.squid","California.mussel","California.sea.cucumber","California.spiny.lobster","Chesnut.cowrie","Clown.nudibranch","Colonial.cup.coral","Cookie.star","Crested.star","Crowned.sea.urchin","Cushion.star","Dawson.s.sun.star","Decorator.crab","Deep.sea.cucumber","Diamondback.Tritonia","Dirty.marshmallow.sponge","Dungeness.crab","East.Pacfic.red.octopus","Elephant.ear.tunicate","Encrusting.hydrocoral","Feather.star","Fish.eating.star","Fish.eating.anemone","Fish.eating.star.1","Fluted.bryozoan","Fragile.pink.urchin","Freckled.pale.sea.lemon","Frilled.anemone","Giant.keyhole.limpet","Giant.Pacific.octopus","Giant.rock.scallop","Giant.spined.star","Glassy.tunicate","Gorgonian.zoanthid","Gray.puffball.sponge","Gumboot.chiton","Leather.star","Long.legged.sunflower.star","Lophelia.complex","Mantis.shrimp","Mushroom.soft.coral","Noble.sea.lemon","Northern.staghorn.bryozoan","Ochre.star","Orange.gorgonian","Orange.puffball.sponge","Orange.sea.cucumber","Orange.sea.pen","Orange.peel.nudibranch","Painted.anemone","Pelagic.red.crab","Phosphorescent.sea.pen","Pink.Tritonia","Pisaster.complex","Pleurobranchaea.californica","Puget.Sound.king.crab","Purple.gorgonian","Purple.sea.urchin","Purple.red.urchin.complex","Rainbow.star","Red.gorgonian","Red.rock.crab","Red.sea.star","Red.sea.urchin","San.Diego.scallop","Sand.star","Sand.star.spiny.sand.star.complex","Sand.rose.anemone","Sand.rose.anemone.....","Sea.star","Sea.whip","Sheep.crab","Short.red.gorgonian","Short.spined.sea.star","Slipper.sea.cucumber","Solaster.sun.star.complex","Southern.staghorn.bryozoan","Spanish.shawl.nudibranch","Spiny.lithode.crab","Spiny.red.star","Spiny.sand.star","Spiny.thorny.star.complex","Spot.prawn","Stalked.tunicate","Stimpson.s.sun.star","Stubby.rose.anemone","Sunflower.star","Sunflower.star.complex","Swimming.anemone","Swimming.nudibranch","Thorny.sea.star","Trumpet.sponge","UI.anemone","UI.anemone.1","UI.anemone.2","UI.anemone.3","UI.anemone.4","UI.anemone.5","UI.anemone.6","UI.boot.sponge","UI.brachiopoda","UI.branched.bryozoan","UI.branched.sea.cucumber","UI.branched.sponge","UI.brittle.stars.","UI.Cancer.sp.","UI.carpet.worm","UI.crab","UI.feather.star","UI.gorgonian","UI.gray.gorgonian","UI.Henricia","UI.laced.sponge","UI.laced.lobed.bryozoan","UI.lobed.sponge","UI.lobed.sponge.tunicate","UI.nipple.sponge","UI.nudibranch","UI.octopus","UI.prawn","UI.red.Swiftia.gorgonian","UI.salp","UI.sand.dwelling.anemone","UI.scallop","UI.sea.pen","UI.sea.star","UI.squat.lobster","UI.tube.dwelling.anemone","UI.tubeworm","UI.tunicate","UI.vase.sponge","UI.whelk","UI.White.Branching.Sponge","UI.white.lobed.sponge","UI.White.slipped.sea.cucumber","UI.yellow.boot.sponge","UI.yellow.gorgonian","Warty.sea.cucumber","White.branched.sea.cucumber","White.sea.pen","White.sea.pen.....","White.sea.urchin","White.spine.sea.cucumber","White.plumed.anemone","White.spotted.rose.anemone"
"1",2008,"Central","Point Buchon","MPA",-120.899179461905,35.2307329880952,0,0,0,233,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,8,7,0,37,0,0,2,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,63,21,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"2",2008,"Central","Point Buchon","Reference",-120.920742165,35.2795292975,0,0,0,133,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,3,0,39,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,50,15,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2012,"Central","Point Buchon","MPA",-120.896403983333,35.2326058366667,0,3,0,301,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,0,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"4",2012,"Central","Point Buchon","Reference",-120.92377617619,35.2794894185714,0,16,0,193,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,38,0,42,0,0,6,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,147,0
"5",2016,"Central","Point Buchon","MPA",-120.898746166667,35.2322503954167,0,0,0,296,1,0,0,0,0,0,0,43,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,16,0,0,1,0,16,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,14,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0
"6",2016,"Central","Point Buchon","Reference",-120.919916278261,35.2790172330435,0,0,0,142,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,16,0,0,0,4,10,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72.8,0
"7",2019,"Central","Point Buchon","MPA",-120.898664974359,35.2327732061538,0,0,0,794,3,0,0,0,0,0,0,15,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,103,0,0,0,0,0,0,0,6,4,0,0,5,0,0,0,0,0,0,3,0,0,0,48,6,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,4,1,1,0,0,20,0,0,18,0,6,0,117,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,102.04,13,60,0,0,0,0,0,0,0,81,0,0,412,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,33,5,0,0,0,71,3
"8",2019,"Central","Point Buchon","Reference",-120.918575148837,35.2781821444186,0,0,0,425,0,0,0,0,0,0,0,1,0,0,343,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,60,0,0,0,288,0,0,0,0,0,0,0,1,1,0,0,2,1,10,0,0,0,0,7,0,0,0,214,8,1,0,0,0,0,0,0,0,0,2,20,0,0,137.01,0,23,28,0,1,0,23,0,0,1,0,229,0,585.02,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,508.13,11,46,0,1,0,0,0,0,0,284,0,0,1298.93,0,9,2,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,448.05,0,0,2,0,0,1
"9",2007,"Central","Point Lobos","MPA",-121.954548921429,36.5082213942857,0,0,0,64,8,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,3,87,0,105,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,12,0,0,0,0,0,6,0,21,0,0,0,1170.4,97,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"10",2008,"Central","Point Lobos","MPA",-121.960244344444,36.4986099037037,0,0,0,14,7,0,0,0,0,0,0,46,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,8,3,99.7,0,25,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,7,0,0,0,0,0,0,0,3,0,0,0,189.8,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
