,Year,Region,MPA_Group,Type,Designation,Acorn.barnacle,Aggregated.nipple.sponge,Basket.star,Bat.star,Bat.star.red.sea.star.complex,Benthic.siphonophore,Blood.star,Boot.sponge,Brown.box.crab,Brown.gorgonian,California.golden.gorgonian,California.hydrocoral,California.market.squid,California.mussel,California.sea.cucumber,California.spiny.lobster,Chesnut.cowrie,Clown.nudibranch,Colonial.cup.coral,Cookie.star,Crested.star,Crowned.sea.urchin,Cushion.star,Dawson.s.sun.star,Decorator.crab,Deep.sea.cucumber,Diamondback.Tritonia,Dirty.marshmallow.sponge,Dungeness.crab,East.Pacfic.red.octopus,Elephant.ear.tunicate,Encrusting.hydrocoral,Feather.star,Fish.eating.star,Fish.eating.anemone,Fish.eating.star.1,Fluted.bryozoan,Fragile.pink.urchin,Freckled.pale.sea.lemon,Frilled.anemone,Giant.keyhole.limpet,Giant.Pacific.octopus,Giant.rock.scallop,Giant.spined.star,Glassy.tunicate,Gorgonian.zoanthid,Gray.puffball.sponge,Gumboot.chiton,Leather.star,Long.legged.sunflower.star,Lophelia.complex,Mantis.shrimp,Mushroom.soft.coral,Noble.sea.lemon,Northern.staghorn.bryozoan,Ochre.star,Orange.gorgonian,Orange.puffball.sponge,Orange.sea.cucumber,Orange.sea.pen,Orange.peel.nudibranch,Painted.anemone,Pelagic.red.crab,Phosphorescent.sea.pen,Pink.Tritonia,Pisaster.complex,Pleurobranchaea.californica,Puget.Sound.king.crab,Purple.gorgonian,Purple.sea.urchin,Purple.red.urchin.complex,Rainbow.star,Red.gorgonian,Red.rock.crab,Red.sea.star,Red.sea.urchin,San.Diego.scallop,Sand.star,Sand.star.spiny.sand.star.complex,Sand.rose.anemone,Sand.rose.anemone.....,Sea.star,Sea.whip,Sheep.crab,Short.red.gorgonian,Short.spined.sea.star,Slipper.sea.cucumber,Solaster.sun.star.complex,Southern.staghorn.bryozoan,Spanish.shawl.nudibranch,Spiny.lithode.crab,Spiny.red.star,Spiny.sand.star,Spiny.thorny.star.complex,Spot.prawn,Stalked.tunicate,Stimpson.s.sun.star,Stubby.rose.anemone,Sunflower.star,Sunflower.star.complex,Swimming.anemone,Swimming.nudibranch,Thorny.sea.star,Trumpet.sponge,UI.anemone,UI.anemone.1,UI.anemone.2,UI.anemone.3,UI.anemone.4,UI.anemone.5,UI.anemone.6,UI.boot.sponge,UI.brachiopoda,UI.branched.bryozoan,UI.branched.sea.cucumber,UI.branched.sponge,UI.brittle.stars.,UI.Cancer.sp.,UI.carpet.worm,UI.crab,UI.feather.star,UI.gorgonian,UI.gray.gorgonian,UI.Henricia,UI.laced.sponge,UI.laced.lobed.bryozoan,UI.lobed.sponge,UI.lobed.sponge.tunicate,UI.nipple.sponge,UI.nudibranch,UI.octopus,UI.prawn,UI.red.Swiftia.gorgonian,UI.salp,UI.sand.dwelling.anemone,UI.scallop,UI.sea.pen,UI.sea.star,UI.squat.lobster,UI.tube.dwelling.anemone,UI.tubeworm,UI.tunicate,UI.vase.sponge,UI.whelk,UI.White.Branching.Sponge,UI.white.lobed.sponge,UI.White.slipped.sea.cucumber,UI.yellow.boot.sponge,UI.yellow.gorgonian,Warty.sea.cucumber,White.branched.sea.cucumber,White.sea.pen,White.sea.pen.....,White.sea.urchin,White.spine.sea.cucumber,White.plumed.anemone,White.spotted.rose.anemone
1,2005,South,Anacapa Island,SMCA,MPA,0,0,0,0.155195522,0.010058256,0,0,0,0,0,0.00077001,0,0,0,0.001588146,4.81E-05,0,0,0,0,0,0.000288754,0,0,0,0,0,9.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000866261,0,0.012031407,4.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192503,0,0,0.219048604,0,0,4.81E-05,0.135651705,0,0.023340929,0,0,0.000144377,4.81E-05,0.000192503,0,0,4.81E-05,0,4.81E-05,0.000192503,0,0,0,0,0,0,0,0,0,0,0,0,4.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63E-05,0,0,0,4.81E-05,0,0.001058764,0,0.000962513,0,0,0,0.000625633,0.00077001,0,0,0,0,0,0,0,0,0.00077001,0,0,0,0,0,9.63E-05,0,0,0,0,0,9.63E-05,0,0.012560789,0,0,0,0,0
2,2005,South,Anacapa Island,SMR,MPA,0,0,0,0.027421818,0.010108654,0,0,0,0,0,0,0,0,0,0.003239237,5.58E-05,0,0,0,0,0,0.002116674,0,0,5.58E-05,0,0,0.00050264,0,0,0,0,0,0,5.58E-05,0,0,0,0,0,0.001898863,0,0.000111698,0.000781885,0,0.002904144,0,0,0.000111698,0,0,5.58E-05,0,0,0,0,0.005752439,5.58E-05,0,0,0,0,0,0,0,0.000167547,0,0,0.144888847,0,0,0,0.014129776,0,0.029320682,0.000614338,0,0.000223396,5.58E-05,0.000670187,0,0,0.006981115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58E-05,0,0,0,0,0,0.000111698,0,0,0,0,0,0,0,0,0,0,0.005752439,0,5.58E-05,0,0,0,0.000223396,0,0.001005281,0,0,0,0.000726036,0.000335094,0,0,0,0,0,0,5.58E-05,0,0.000614338,0,5.58E-05,0,0,0,0.000446791,0,0,0,0,0,0.001843014,0,0.000781885,0,0.132702613,0,0,0
3,2006,South,Anacapa Island,SMCA,MPA,0,0,0,0.148932228,0.002625037,0,0,0,0,0,0.001312518,0,0,0,0.007566282,0,0,0,0,7.72E-05,0,0,0,0,0,0,0,0.000308828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72E-05,0.001389725,0,0.04680286,0,0,0,0,0,7.72E-05,0,0,0,0,0.000231621,0.000154414,0,0,0,0,0,0,0,0,0,0,0.158366918,0,0,0,0.103411004,0,0.01829805,0.000154414,0,0.000154414,0,0.000154414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72E-05,0,0,0,0,0,0.000386035,0,0.001466932,0,0,0,7.72E-05,0,0,0,0,0,0,0,0,0,7.72E-05,0,0,0,0,0,7.72E-05,0,0,0,0,0,0.010500147,0,0.018282608,0,0.000386035,0,0,0
4,2006,South,Anacapa Island,SMR,MPA,0,0,0,0.018872003,0.005703852,0,0,0,0,0,0,0,0,0,0.005633434,0,0,0,0,0,0,0,0,0,0,0,0,0.000140836,0,0,0,0,0,0,0,0,0,0,0,0,0.001267523,0,0,0.000563343,0,0.000845015,0,0,0,0,0,0,0,0,0,0,0.003450478,0,0,0,0,0,0,0,0,7.04E-05,0,0,0.109316784,0,0,0,0.010140181,0,0.028519259,0.000845015,0,0.000281672,0,0.000422508,0,0,0.008795199,0.000140836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281672,0,0,0,0,0,0,0.000281672,0,0,0,0.00507009,0,0,0,0,0,0.000140836,0,0.000422508,0,0,0,0.000281672,7.04E-05,0,0,0,0,0,0,0,0,0.000774597,0,0,0,0,0,0.000140836,0,0,0,0,0,0.003168807,0,0.000633761,0,0.066368893,0,0,0
5,2007,South,Anacapa Island,SMCA,MPA,0,0,0,0.132749808,0.000271435,0,0,0,0,0.000814305,0.000995262,0,0,0,0.006152527,0,0,0,0,0,0,0,0,0,0,0,0,0.000361913,0,0,0,0,0,0,0,0,0,0,0,0,9.05E-05,0,0.000180957,0.001447653,0,0.015734182,0,0,0.000271435,0,0,0,0,0,0,0,0,0.000180957,0,0,0,0,0,0,0,0.000633348,0,0,0.188665417,0,0,0,0.150764044,0,0.013843185,0,0,9.05E-05,0,0.000180957,0,0,9.05E-05,0,0,9.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000361913,0,0,0.000814305,0.000180957,0.000452392,0,0,0,0,0,0,0,0,0.000361913,0,0,0,0,0,0,0,0,0,0,0,0.010585965,0,0.005609657,0,0,0,0,0
6,2007,South,Anacapa Island,SMR,MPA,0,0,0,0.02242003,0,0,0,0,0,0,7.33E-05,0,0,0,0.011722891,7.33E-05,0,0,0,7.33E-05,0,7.33E-05,0,0,7.33E-05,0,0,0.000146536,0,0,0,0,0,0,0.000146536,0,0,0,0,0,0.001099021,0,0,0.000805949,0,0.000586145,0,0,7.33E-05,0,0,0,0,0,0,0,0.003077259,0,0,0,0,0,0,0,0,0.000146536,0,0,0.096157016,0,0,0.000146536,0.010330798,0,0.024398268,0.001025753,0,7.33E-05,0,0.000439608,0,0,0.005495105,0,0,0,0,0,0,0,0,0,0.000293072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146536,0,0.003003991,0,0.001831702,0,0,0,0,0,0,0,0.000586145,0,0,0.002857455,0.000146536,0.000146536,0,0,0,0,0,0,0,0,0.000512876,0,0,0,0,7.33E-05,0.000146536,0,0,0,0,0,0.015313027,0,7.33E-05,0,0,0,0,0
7,2008,South,Anacapa Island,SMCA,MPA,0,0,0,0.133413725,0.000869617,0,0,0,0,0.00036234,0.002826255,0,0,0,0.014783487,0,0,0,0,0,0,0,0,0,0,0,0,0.000289872,0,0,0,0,0,0,0,0,0,0,0,0,0.000434808,0,0,0.000942085,0,0.014855955,0,0,0.000217404,0,0,0,0,0,0,0,0.000507277,0,0,0,0,0,0,0,0,0.000289872,0,0,0.176691658,0,0.000217404,0,0.134268848,0,0.025291358,0,0,0.000144936,0,0,0,0,0,0,0,0.00036234,0,0,0,0,0,0,7.25E-05,0,0,0,0,0,0,0,0,0,0,0,7.25E-05,0,0,0,0,0,0,0,0,0.000144936,0,0.00036234,0,0,0,0,0,0.000724681,0,0.000217404,0,0,0.001231957,0.000507277,0.000144936,0,0,0,0,0,0,0,0,7.25E-05,0,0,0,0,0,0,0,0,0,0,0,0.034204931,0,0.000144936,0,0,0,0,0
8,2008,South,Anacapa Island,SMR,MPA,0,0,0,0.031206509,0.000747868,0,0,0,0,0,0.000135976,0,0,0,0.016453105,6.80E-05,0,0,0,0,0,0.000543904,0,0,0,0,0,0.000271952,0,0,0,0,0,0,0.000203964,0,0,0,0,0,0.001699701,0,0,0.001155797,0,0.000747868,0,0,6.80E-05,0,0,0,0,0,0,0,0.001631713,6.80E-05,0,0,0,0,0,0,0,6.80E-05,0,0,0.079858748,0,0,6.80E-05,0.008838445,0,0.023319897,0.001563725,0,0.000203964,0,0.000203964,0,0,0.002923486,6.80E-05,0,0.00033994,0,0,0,0,0,0,6.80E-05,0,0,0,0,0,0,0,0,0,0,0,6.80E-05,0,0,0,0,0,0,0,0,0.002039641,0,0.014855386,0,0,0,0,0,0.001155797,0,0.000883844,0,0,0.005099103,0.000475916,0.000203964,0,0,0,0,0,0,0,0,0.000271952,0,0,0,0,6.80E-05,6.80E-05,0,0,0,0,0,0.016181153,0,0,0,0.233940036,0,0,0
9,2009,South,Anacapa Island,SMCA,MPA,0,0,0,0.143414994,0,0,0,0,0,0,0.003032523,0,0,0,0.020994388,0,0,0,0,0,0,0,0,0,0,0,0,0.000349906,0,0,0,0,0,0,0,0,0,0,0,0,0.000466542,0,0,0.001516261,0,0.019559771,0,0,0.000233271,0,0,0,0,0,0,0,0,0.001399626,0,0,0,0,0,0,0,0.000699813,0,0,0.201371167,0,0,0,0.211518454,0,0.004198878,0.000466542,0,0.000466542,0,0.000233271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116635,0,0,0,0,0,0.000116635,0,0,0,0,0,0,0,0,0,0,0.002216074,0,0,0,0,0,0.000116635,0,0.000933084,0,0.004082242,0.002565981,0,0.000933084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004198878,0,0.017145416,0,0,0,0,0
10,2009,South,Anacapa Island,SMR,MPA,0,0,0,0.047730467,0.000406217,0,0,0,0,0,0,0,0,0,0.037067278,0.000203108,0,0,0,0,0,0.000406217,0,0,0.000101554,0,0,0.000812433,0,0,0,0,0,0,0,0,0,0,0,0,0.000913988,0,0,0.001015542,0,0.002234192,0,0,0.000101554,0,0,0,0,0,0,0,0.00873366,0.003046626,0,0.000101554,0,0,0,0,0,0.000507771,0,0,0.192303005,0,0,0,0.018482862,0,0.031684906,0.003351288,0,0.000812433,0,0.001624867,0,0,0.00314818,0.000101554,0,0,0,0,0,0,0,0,0.000101554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101554,0,0.027927401,0,0,0,0,0,0,0,0.001624867,0,0,0.002741963,0,0.000101554,0,0,0,0,0,0,0,0,0.001726421,0,0,0,0,0,0,0,0,0,0,0,0.01117096,0,0.001726421,0,0.012064637,0,0,0.000101554
