ID,Project,Region,Survey_Year,Survey_Date,Location,MPA_Group,Type,Designation,Site,Dive,Line,Line_ID,Distance (m),Invert_Area (m2),Habitat_Type,Avg_Lat,Avg_Lon,Max_Depth (m),Min_Depth (m),Ave_Depth (m),Hab_Transect_ID,Total Density,Acorn barnacle,Basket star,Bat star,Bat star/red sea star complex,Benthic siphonophore,Brown box crab,Brown gorgonian,California golden gorgonian,California hydrocoral,California king crab,California market squid,California market squid eggs,California sea cucumber,California seahare,California spiny lobster,Clown nudibranch,Club-tipped anemone,Cookie star,Crested star,Crowned sea urchin,Cushion star,Dawson's sun star,Decorator crab,Deep sea cucumber,Diamondback Tritonia,Dirty marshmallow sponge,Dungeness crab,East Pacific red octopus,Elephant ear tunicate,Encrusting hydrocoral,Feather star,Fish eating star,Fish-eating anemone,Fish-eating star,Fragile pink urchin,Freckled pale sea lemon,Frilled anemone,Giant keyhole limpet,Giant Pacific octopus,Giant rock-scallop,Giant spined star,Glassy tunicate,Gorgonian zoanthid,Gray moon sponge,Gray puffball sponge,Leather star,Light edged ribbon worm,Long legged sunflower star,Mantis shrimp,Mushroom soft coral,Noble sea lemon,Northern staghorn bryozoan,Ochre star,Orange Cup Coral,Orange gorgonian,Orange puffball sponge,Orange sea cucumber,Orange sea pen,Orange-peel nudibranch,Painted anemone,Phosphorescent sea pen,Pink Tritonia,Pisaster complex,Pleurobranchaea californica,Puget Sound king crab,Purple gorgonian,Purple sea urchin,Purple/red urchin complex,Rainbow star,Red gorgonian,Red rock crab,Red sea star,Red sea urchin,Rose star,Sand star,Sand star/spiny sand star complex,Sand-rose anemone,Sea star,Sea whip,Sheep crab,Short red gorgonian,Short spined sea star,Slipper sea cucumber,Solaster sun star complex,Southern kelp crab,Southern staghorn bryozoan,Spanish shawl nudibranch,Spiny red star,Spiny sand star,Spiny/thorny star complex,Spot prawn,Spotted swimming anemone,Squat lobster,Stalked tunicate,Stimpson's sun star,Striped nudibranch,Stubby rose anemone,Sunflower star,Sunflower star complex,Swimming nudibranch,Thorny sea star,Trumpet sponge,UI anemone,UI anemone 1,UI anemone 2,UI anemone 3,UI anemone 4,UI anemone 5,UI anemone 6,UI boot sponge,UI brachiopoda,UI branched bryozoan,UI branched sea cucumber,UI branched sponge,UI Brittle Star,UI brittle stars,UI Cancer sp_,UI carpet worm,UI crab,UI dead gorgonian,UI feather star,UI gorgonian,UI gray gorgonian,UI Henricia,UI laced/lobed bryozoan,UI large yellow sponge,UI lobed sponge,UI lobed sponge/tunicate,UI nipple sponge,UI nudibranch,UI octopus,UI prawn,UI red Swiftia gorgonian,UI salp,UI sand dwelling anemone,UI scallop,UI sea jelly,UI sea star,UI six armed sea star,UI trumpet sponge,UI tube dwelling anemone,UI tubeworm,UI tunicate,UI vase sponge,UI whelk,UI yellow boot sponge,UI yellow gorgonian,Warty sea cucumber,White branched sea cucumber,White sea pen,White sea urchin,White spine sea cucumber,White-plumed anemone,White-spotted rose anemone,Wrinkled Sea Star,actiniaria,alcyonacea,asteroidea,echinoidea,holothuroidea,malacostraca,pennatulacea,porifera
874,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,470,23_470,151.8906123,153.1816446,Hard,32.80510819,-117.3077618,37.1,29.6,33.31131387,CIAP_B 2014_23_470_Hard,0.3525,0,0,0.1828,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1436,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0.038146841,0.044504648,0.003178903,0.019073421,0,0,0
875,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,470,23_470,68.19289848,67.02825206,Hard_Mixed,32.80518782,-117.3077594,37,29.9,33.58535565,CIAP_B 2014_23_470_Hard_Mixed,0.2835,0,0,0.1939,0,0,0,0,0,0,0,0,0,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298,0,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078354963,0,0.019588741,0,0,0
868,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,1730,23_1730,58.69724814,64.38163372,Hard,32.80528794,-117.3213707,58.4,56.9,57.3256,CIAP_B 2014_23_1730_Hard,2.3765,0,0,0.0311,0,0,0,0,0,0,0,0,0,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466,0,0,0,0,0,0,0,0,0,0,0,1.662,0,0,0,0,0,0,0,0,0,0,0.0621,0,0,0,0.497,0,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006571506,0.013143012,0,0.006571506,0.013143012,0,0
867,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,1310,23_1310,1.81855583,1.524894938,Soft_Mixed,32.80537744,-117.3166546,52,50.1,51.36666667,CIAP_B 2014_23_1310_Soft_Mixed,4.5905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008788502,0.023436005,0,0,0,0,0
876,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,470,23_470,30.48250452,30.28445584,Soft,32.80538496,-117.3077828,37,29.9,32.63426573,CIAP_B 2014_23_470_Soft,0.4623,0,0,0.4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003967818,0,0.059517268,0,0.051581632,0,0,0
879,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,890,23_890,312.8575749,332.9291104,Soft,32.80577925,-117.3123081,49.8,40.8,46.54455882,CIAP_B 2014_23_890_Soft,0.1051,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0,0,0,0,0.015,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0.012466312,0,0,0,0,0
865,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,1310,23_1310,28.3408625,28.53914878,Hard_Mixed,32.80582173,-117.3166851,55.1,50.2,51.21147541,CIAP_B 2014_23_1310_Hard_Mixed,1.9973,0,0,0.1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701,0,0,0,0,0,0,0,0,0,1.2614,0.035,0,0,0,0,0,0,0,0,0,0.0701,0,0,0,0.2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0.035,0,0,0,0,0.0701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0.011327063,0,0.045308254,0,0,0
864,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,1310,23_1310,64.44400749,67.92181743,Hard,32.80593138,-117.3166969,55,50.2,51.25104895,CIAP_B 2014_23_1310_Hard,2.7532,0,0,0.2503,0,0,0,0,0,0,0,0,0,0.0736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4428,0.0147,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0.5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147,0,0.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147,0,0,0,0,0,0,0,0,0.0442,0,0,0,0,0,0,0,0,0,0.007483293,0.022449878,0.039910894,0.024944309,0.012472154,0,0
872,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,2150,23_2150,99.90495672,83.72608873,Hard_Mixed,32.806178,-117.3256537,63,58.5,59.6350365,CIAP_B 2014_23_2150_Hard_Mixed,19.0586,0,0,0,0,0,0,0,0.0119,0,0,0,0,0.0597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6037,0,0,0,0,0,0,0,0,0,0,0.5375,0,0,0,0.4061,0,0,0,0,0,0,0,0,0.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1672,0,0,0,0,0,0,0,0.1194,0,0.0478,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119,0,0,0,0,0,15.0455,0,0,0,0,0,0.004701446,0.056417357,0.004701446,0.014104339,0,0,0
873,CIAP_B 2014,South,2014,6/11/2014,South La Jolla,South La Jolla,SMR/SMCA,MPA,SLJ4,23,2150,23_2150,352.9596712,295.7193104,Soft,32.80619662,-117.3256743,63.1,58.7,60.91114488,CIAP_B 2014_23_2150_Soft,9.2568,0,0,0,0,0,0,0,0,0,0,0.0068,0,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0.3111,0,0,0,0,0,0.0778,0,0,0,0,0.0304,0,0,0,0.0237,0,0,0,0,0,0,0,0,0.0845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0,0,0,0,0,0,0,0.0068,0,0.0034,0,0,0,0.0101,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6684,0,0,0,0,0,0,0,0,0,0,0,0
