Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,Transect_ID,Habitat_Type,Lat,Lon,Depth (m),Cumulative_Dist (m),Cumulative_Area (m2),TC,Sec,Taxserial,CommonName,SpeciesName,Count,Unusable_Data,Field2
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56823485,-121.9926993,100.6,2.5,3.04,15:26:00,278090760,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56824583,-121.9927015,100.6,3.73,4.67,15:26:05,278090765,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.5682502,-121.9927177,100.3,5.36,7.37,15:26:11,278090771,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.5682499,-121.9927252,100.85,6.03,8.55,15:26:13,278090773,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56831281,-121.9928162,100.1,18.41,28.93,15:26:45,278090805,157011,Red sea star,Mediaster aequalis,5,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.5683314,-121.992805,100.1,20.72,31.69,15:26:50,278090810,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56833735,-121.9927984,99.1,21.6,32.66,15:26:52,278090812,157011,Red sea star,Mediaster aequalis,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56836074,-121.9927931,100.2,24.26,36.13,15:26:59,278090819,157011,Red sea star,Mediaster aequalis,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56858117,-121.9926141,97.2,55.61,108.53,15:27:46,278090866,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56860921,-121.9926241,97.5,58.84,113.99,15:27:50,278090870,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.5686162,-121.9926291,97.7,59.73,115.47,15:27:51,278090871,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.5686524,-121.9926607,97.8,64.67,126,15:27:57,278090877,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56870629,-121.9927017,98.1,71.68,137.39,15:28:04,278090884,156866,Sand star,Luidia foliolata,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56880211,-121.9927961,98.6,85.2,163.1,15:28:18,278090898,157011,Red sea star,Mediaster aequalis,3,,
