Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:17:18,494180238,52390,White sea pen,Stylatula elongata,1,42.5,37.08656242,37.08656242,,4.37,3.750950072
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:18:09,494180289,52390,White sea pen,Stylatula elongata,1,42.2,37.08653383,37.08653383,,15.99,11.35095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:18:14,494180294,52390,White sea pen,Stylatula elongata,1,42.6,37.08653385,37.08653385,,17.72,12.52095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:18:29,494180309,52390,White sea pen,Stylatula elongata,1,42.5,37.08652658,37.08652658,,23.8,16.62095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:18:49,494180329,52390,White sea pen,Stylatula elongata,1,42.2,37.08649959,37.08649959,,30.67,22.27095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:19:29,494180369,52390,White sea pen,Stylatula elongata,1,42.3,37.08643908,37.08643908,,41.1,29.88095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:19:30,494180370,52390,White sea pen,Stylatula elongata,1,42.3,37.08643722,37.08643722,,41.37,30.07095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:20:25,494180425,52390,White sea pen,Stylatula elongata,1,42.4,37.08630164,37.08630164,,58.08,41.76095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:21:14,494180474,52390,White sea pen,Stylatula elongata,1,42.2,37.08618323,37.08618323,,80.56,59.66095007
CIAP_D 2015,North Central,2015,08/29/2015,Ano Nuevo,Ano Nuevo,SMCA,MPA,AN1,101,1400,101_1400,CIAP_D 2015_101_1400,CIAP_D 2015_101_1400_Soft,Soft,16:21:33,494180493,52390,White sea pen,Stylatula elongata,2,42.3,37.08614226,37.08614226,,86.83,64.52095007
