Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Hard_Mixed,Hard_Mixed,15:49:04,443375344,52736,White-plumed anemone,Metridium farcimen,1,83.4,34.3641193,34.3641193,,1.58,1.23
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:49:32,443375372,52736,White-plumed anemone,Metridium farcimen,1,83.3,34.36414556,34.36414556,,9.88,8.02
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:49:32,443375372,47,UI nipple sponge,Unidentified Porifera (nipple),1,83.3,34.36414556,34.36414556,,9.88,8.02
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:49:33,443375373,719252,Sea whip,Halipteris californica,2,83.3,34.36414624,34.36414624,,10.22,8.26
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:49:55,443375395,719252,Sea whip,Halipteris californica,1,83.2,34.36415149,34.36415149,,17.65,13.88
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:50:00,443375400,158541,UI feather star,Unidentified Crinoidea,1,83.4,34.3641492,34.3641492,,19.36,15.14
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:50:01,443375401,719252,Sea whip,Halipteris californica,1,83.4,34.36414861,34.36414861,,19.71,15.4
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:50:04,443375404,719252,Sea whip,Halipteris californica,1,83.4,34.36414633,34.36414633,,20.77,16.15
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:50:08,443375408,719252,Sea whip,Halipteris californica,1,83.3,34.36414244,34.36414244,,22.21,17.21
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:50:23,443375423,719252,Sea whip,Halipteris californica,1,83.3,34.3641236,34.3641236,,27.51,21.18
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:51:03,443375463,719252,Sea whip,Halipteris californica,1,83.3,34.36407897,34.36407897,,39.4,30.15
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:51:19,443375479,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,83.2,34.36407117,34.36407117,,43.85,33.76
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:51:21,443375481,719252,Sea whip,Halipteris californica,1,83.2,34.36407037,34.36407037,,44.43,34.26
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Soft,Soft,15:51:27,443375487,719252,Sea whip,Halipteris californica,1,83.1,34.36406733,34.36406733,,46.17,35.82
CIAP_A 2014,South,2014,01/18/2014,Capus Point,Campus Point,SMCA,MPA,CP3,4,580,4_580,CIAP_A 2014_4_580,CIAP_A 2014_4_580_Hard_Mixed,Hard_Mixed,15:51:29,443375489,158541,UI feather star,Unidentified Crinoidea,1,83,34.36406606,34.36406606,,46.76,36.34
