Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:58:05,456339485,157011,Red sea star,Mediaster aequalis,1,91.7,33.46710339,33.46710339,,0,0
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:58:10,456339490,52281,Purple gorgonian,Eugorgia rubens,1,91.6,33.46709143,33.46709143,,1.3,2.16
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:58:12,456339492,52281,Purple gorgonian,Eugorgia rubens,1,91.5,33.46708096,33.46708096,,2.48,4.18
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:58:44,456339524,157011,Red sea star,Mediaster aequalis,1,91.3,33.46684422,33.46684422,,29.72,48.13
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:58:48,456339528,157011,Red sea star,Mediaster aequalis,1,91.3,33.46682214,33.46682214,,32.2,51.35
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:59:01,456339541,157011,Red sea star,Mediaster aequalis,2,91.1,33.46674915,33.46674915,,40.36,62.3
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:59:11,456339551,157011,Red sea star,Mediaster aequalis,1,91.1,33.46669647,33.46669647,,46.29,70.43
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:59:26,456339566,156866,Sand star,Luidia foliolata,1,90.9,33.46661801,33.46661801,,55.41,82.67
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:59:45,456339585,157011,Red sea star,Mediaster aequalis,1,90.9,33.46653419,33.46653419,,65.06,94.77
CIAP_B 2014,South,2014,06/17/2014,Catalina Island,Farnsworth,Reference,Reference,CI1,37,1350,37_1350,CIAP_B 2014_37_1350,CIAP_B 2014_37_1350_Soft,Soft,16:59:50,456339590,719252,Sea whip,Halipteris californica,1,90.7,33.46651048,33.46651048,,67.7,97.61
