Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:40,493755880,52390,White sea pen,Stylatula elongata,12,33.8,37.5232746,37.5232746,,0.13,0.19
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:41,493755881,51483,UI sea jelly,Unidentified Scyphozoa,1,33.9,37.52327543,37.52327543,,0.26,0.33
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:43,493755883,52390,White sea pen,Stylatula elongata,1,33.9,37.52327707,37.52327707,,0.5,0.58
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:44,493755884,52390,White sea pen,Stylatula elongata,1,33.9,37.52327787,37.52327787,,0.62,0.68
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:47,493755887,52390,White sea pen,Stylatula elongata,3,33.8,37.52328363,37.52328363,,1.49,1.48
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:50,493755890,52390,White sea pen,Stylatula elongata,1,33.7,37.52329053,37.52329053,,2.52,2.52
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:53,493755893,52390,White sea pen,Stylatula elongata,1,33.8,37.52329856,37.52329856,,3.7,3.57
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:24:55,493755895,52390,White sea pen,Stylatula elongata,1,33.9,37.52330454,37.52330454,,4.57,4.36
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:25:00,493755900,52390,White sea pen,Stylatula elongata,2,33.7,37.52331935,37.52331935,,6.67,6.15
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:25:07,493755907,52390,White sea pen,Stylatula elongata,7,33.9,37.52334045,37.52334045,,9.54,8.65
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:25:10,493755910,52390,White sea pen,Stylatula elongata,2,33.9,37.52335028,37.52335028,,10.89,10.06
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:25:14,493755914,52390,White sea pen,Stylatula elongata,4,33.8,37.5233638,37.5233638,,12.82,12.09
CIAP_D 2015,North Central,2015,08/24/2015,Montara,N/A,N/A,N/A,MN1,89,950,89_950,CIAP_D 2015_89_950,CIAP_D 2015_89_950_Soft,Soft,18:25:17,493755917,52390,White sea pen,Stylatula elongata,3,33.9,37.52337392,37.52337392,,14.33,13.78
