Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:29:10,529525750,611869,Fish-eating anemone,Urticina piscivora,1,33.3,35.68883981,35.68883981,,2.21,1.99
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard_Mixed,Hard_Mixed,18:29:49,529525789,157133,Bat star,Patiria miniata,1,32.5,35.68868574,35.68868574,,19.4,16.4
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard_Mixed,Hard_Mixed,18:29:50,529525790,157133,Bat star,Patiria miniata,1,32.4,35.68868119,35.68868119,,19.9,16.89
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:29:58,529525798,157133,Bat star,Patiria miniata,1,31.4,35.6886457,35.6886457,,23.91,20.49
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:30:10,529525810,157133,Bat star,Patiria miniata,1,31.4,35.68859661,35.68859661,,29.86,25.51
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:31:08,529525868,157133,Bat star,Patiria miniata,1,32.5,35.68837973,35.68837973,,56.24,52.86
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:31:25,529525885,157133,Bat star,Patiria miniata,1,32.5,35.68832628,35.68832628,,62.24,58.7
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:31:29,529525889,611869,Fish-eating anemone,Urticina piscivora,1,32.7,35.68831337,35.68831337,,63.71,59.79
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:31:40,529525900,157133,Bat star,Patiria miniata,1,32.9,35.68827777,35.68827777,,67.92,63.32
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:32:12,529525932,611869,Fish-eating anemone,Urticina piscivora,1,33.5,35.68815978,35.68815978,,82.3,76.2
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard_Mixed,Hard_Mixed,18:32:14,529525934,611870,Sand-rose anemone,Urticina columbiana,1,33.6,35.68815258,35.68815258,,83.26,77.08
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard_Mixed,Hard_Mixed,18:32:16,529525936,611870,Sand-rose anemone,Urticina columbiana,1,33.7,35.68814532,35.68814532,,84.23,78.07
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard_Mixed,Hard_Mixed,18:32:25,529525945,611870,Sand-rose anemone,Urticina columbiana,1,32.7,35.68811093,35.68811093,,88.77,83.06
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:32:52,529525972,157152,UI Henricia,Unidentified Henricia sp.,1,32.4,35.6879961,35.6879961,,103.66,97.78
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard,Hard,18:33:03,529525983,611869,Fish-eating anemone,Urticina piscivora,1,32.5,35.68795626,35.68795626,,108.93,102.95
CIAP_E 2016,Central,2016,10/11/2016,Piedras Blancas,Piedras Blancas,SMR,MPA,PIE1,148,1980,148_1980,CIAP_E 2016_148_1980,CIAP_E 2016_148_1980_Hard_Mixed,Hard_Mixed,18:33:33,529526013,97,UI sea star,Unidentified Asteroidea,1,32,35.68785195,35.68785195,,121.74,116.37
