Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:27,495244647,719219,Short red gorgonian,Swiftia spauldingi,1,66.3,38.90543897,38.90543897,,389.63,498.25
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:29,495244649,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,2,66.4,38.90544728,38.90544728,,390.54,499.41
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:30,495244650,301,UI anemone 2,Unidentified Actiniaria (Type 2),1,66.5,38.90545161,38.90545161,,391.02,499.94
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:31,495244651,719219,Short red gorgonian,Swiftia spauldingi,1,66.4,38.90545601,38.90545601,,391.5,500.51
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:32,495244652,81,UI anemone,Unidentified Actiniaria,1,66.4,38.90546047,38.90546047,,391.99,501.09
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:33,495244653,719219,Short red gorgonian,Swiftia spauldingi,2,66.4,38.905465,38.905465,,392.49,501.85
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:33,495244653,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,66.4,38.905465,38.905465,,392.49,501.85
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:35,495244655,719219,Short red gorgonian,Swiftia spauldingi,1,66.4,38.90547426,38.90547426,,393.51,503.33
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:36,495244656,719219,Short red gorgonian,Swiftia spauldingi,1,66.5,38.90547892,38.90547892,,394.02,504.06
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:37,495244657,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,3,66.6,38.90548358,38.90548358,,394.53,504.74
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:38,495244658,719219,Short red gorgonian,Swiftia spauldingi,5,66.7,38.90548824,38.90548824,,395.04,505.34
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:40,495244660,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,66.8,38.90549734,38.90549734,,396.05,506.57
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:41,495244661,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,3,66.8,38.90550188,38.90550188,,396.55,507.08
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:42,495244662,611773,White-plumed anemone,Metridium farcimen,1,66.8,38.90550646,38.90550646,,397.05,507.59
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:44,495244664,611870,Sand-rose anemone,Urticina columbiana,1,66.7,38.90551561,38.90551561,,398.07,508.76
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:44,495244664,611773,White-plumed anemone,Metridium farcimen,1,66.7,38.90551561,38.90551561,,398.07,508.76
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:44,495244664,719219,Short red gorgonian,Swiftia spauldingi,1,66.7,38.90551561,38.90551561,,398.07,508.76
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Hard_Mixed,Hard_Mixed,23:57:44,495244664,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,66.7,38.90551561,38.90551561,,398.07,508.76
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Soft,Soft,23:42:30,495243750,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,66.5,38.90228436,38.90228436,,1.33,1.7
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Soft,Soft,23:42:44,495243764,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,66.2,38.90231355,38.90231355,,7.11,9.75
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Soft,Soft,23:42:57,495243777,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,66.2,38.90234738,38.90234738,,12.32,17.04
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Soft,Soft,23:43:06,495243786,52390,White sea pen,Stylatula elongata,1,66.2,38.9023789,38.9023789,,15.97,22.41
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Soft,Soft,23:43:21,495243801,52424,Orange sea pen,Ptilosarcus gurneyi,1,66.3,38.90243204,38.90243204,,21.96,29.92
CIAP_D 2015,North Central,2015,09/10/2015,Point Arena,Point Arena,Reference,Reference,PA2,111,2230,111_2230,CIAP_D 2015_111_2230,CIAP_D 2015_111_2230_Soft,Soft,23:43:40,495243820,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,66.4,38.90250093,38.90250093,,29.66,39.12
