Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:09:09,443470149,611870,Sand-rose anemone,Urticina columbiana,1,43.6,34.44126743,34.44126743,,0.92,0.77
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:09:11,443470151,611870,Sand-rose anemone,Urticina columbiana,1,43.4,34.44126696,34.44126696,,1.41,1.23
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:09:25,443470165,611870,Sand-rose anemone,Urticina columbiana,1,43.6,34.44127067,34.44127067,,7.26,6.49
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:10:06,443470206,611870,Sand-rose anemone,Urticina columbiana,1,43.7,34.4413711,34.4413711,,28.58,24.66
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:10:17,443470217,611870,Sand-rose anemone,Urticina columbiana,1,43.4,34.44140463,34.44140463,,34.24,29.85
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:10:19,443470219,611870,Sand-rose anemone,Urticina columbiana,1,43.5,34.44141156,34.44141156,,35.35,30.87
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:10:22,443470222,611870,Sand-rose anemone,Urticina columbiana,1,43.6,34.44142216,34.44142216,,37.05,32.34
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:11:49,443470309,611870,Sand-rose anemone,Urticina columbiana,1,42.8,34.4416517,34.4416517,,77.25,67.09
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:12:58,443470378,611870,Sand-rose anemone,Urticina columbiana,1,42.6,34.44186574,34.44186574,,113.15,100.38
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:14:02,443470442,611870,Sand-rose anemone,Urticina columbiana,1,42.6,34.44203296,34.44203296,,146.95,130.02
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:14:03,443470443,611870,Sand-rose anemone,Urticina columbiana,1,42.6,34.44203481,34.44203481,,147.43,130.41
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:14:18,443470458,611870,Sand-rose anemone,Urticina columbiana,1,42.8,34.44206043,34.44206043,,154.47,136.37
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Soft,Soft,18:15:02,443470502,611870,Sand-rose anemone,Urticina columbiana,1,43.1,34.44212841,34.44212841,,172.96,152.89
CIAP_A 2014,South,2014,01/19/2014,Point Conception,Point Conception,SMR,MPA,PC3,7,790,7_790,CIAP_A 2014_7_790,CIAP_A 2014_7_790_Hard_Mixed,Hard_Mixed,18:15:12,443470512,611870,Sand-rose anemone,Urticina columbiana,1,43.4,34.44215274,34.44215274,,177.93,157.35
