Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:38,527711798,52390,White sea pen,Stylatula elongata,5,98.4,36.69688735,36.69688735,,0.6,0.66
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:42,527711802,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,98.2,36.69689778,36.69689778,,1.82,1.83
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:43,527711803,52390,White sea pen,Stylatula elongata,1,98.2,36.696901,36.696901,,2.18,2.33
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:46,527711806,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,98.5,36.69691159,36.69691159,,3.36,3.91
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:47,527711807,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,2,98.6,36.69691538,36.69691538,,3.78,4.4
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:48,527711808,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,98.6,36.69691924,36.69691924,,4.2,4.83
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:52,527711812,52390,White sea pen,Stylatula elongata,3,98.6,36.69693519,36.69693519,,5.96,6.82
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:56,527711816,52390,White sea pen,Stylatula elongata,6,98.4,36.69695137,36.69695137,,7.76,9.05
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:36:59,527711819,52390,White sea pen,Stylatula elongata,5,98.3,36.69696299,36.69696299,,9.05,10.46
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:01,527711821,52390,White sea pen,Stylatula elongata,10,98.3,36.69697041,36.69697041,,9.88,11.45
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:05,527711825,52390,White sea pen,Stylatula elongata,5,98.3,36.69698433,36.69698433,,11.43,13.36
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:14,527711834,52390,White sea pen,Stylatula elongata,5,98.2,36.69701616,36.69701616,,14.92,17.38
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:19,527711839,52390,White sea pen,Stylatula elongata,2,98.2,36.69703477,36.69703477,,16.97,19.58
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:20,527711840,52390,White sea pen,Stylatula elongata,4,98.2,36.69703846,36.69703846,,17.38,20.12
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:22,527711842,52390,White sea pen,Stylatula elongata,1,98.1,36.69704578,36.69704578,,18.19,21.18
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:28,527711848,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,2,98.2,36.69706826,36.69706826,,20.67,24.12
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:30,527711850,52390,White sea pen,Stylatula elongata,2,98.1,36.6970753,36.6970753,,21.45,25.17
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:31,527711851,52390,White sea pen,Stylatula elongata,2,98.1,36.69707853,36.69707853,,21.8,25.62
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:35,527711855,611773,White-plumed anemone,Metridium farcimen,1,98.1,36.69708944,36.69708944,,22.99,27.1
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:38,527711858,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,98,36.69709495,36.69709495,,23.62,27.9
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:50,527711870,719252,Sea whip,Halipteris californica,1,97.9,36.69710816,36.69710816,,25.57,30.31
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:51,527711871,611773,White-plumed anemone,Metridium farcimen,2,97.9,36.69710849,36.69710849,,25.72,30.48
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:37:52,527711872,611773,White-plumed anemone,Metridium farcimen,3,97.9,36.69710865,36.69710865,,25.87,30.65
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:03,527711883,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,2,97.6,36.69710493,36.69710493,,28.38,33.77
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:08,527711888,719252,Sea whip,Halipteris californica,1,97.6,36.69709886,36.69709886,,30.54,36.41
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:08,527711888,52390,White sea pen,Stylatula elongata,1,97.6,36.69709886,36.69709886,,30.54,36.41
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:10,527711890,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,97.6,36.69709594,36.69709594,,31.57,37.67
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:26,527711906,157011,Red sea star,Mediaster aequalis,1,97.1,36.69708168,36.69708168,,43.49,51.67
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:28,527711908,611773,White-plumed anemone,Metridium farcimen,1,97,36.69708207,36.69708207,,45.17,53.47
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:30,527711910,611773,White-plumed anemone,Metridium farcimen,1,96.9,36.69708262,36.69708262,,46.84,55.51
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:40,527711920,611773,White-plumed anemone,Metridium farcimen,1,96.9,36.69708592,36.69708592,,54.75,64.99
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:38:44,527711924,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,96.7,36.69708707,36.69708707,,57.88,69.19
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:39:01,527711941,611773,White-plumed anemone,Metridium farcimen,1,96.6,36.69709887,36.69709887,,70.51,85.57
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:39:03,527711943,217,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,1,96.5,36.69710147,36.69710147,,71.76,87.17
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:39:06,527711946,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,96.5,36.6971061,36.6971061,,73.56,89.5
CIAP_E 2016,Central,2016,09/20/2016,Portuguese Ledge,Portuguese Ledge,SMCA,MPA,PRL2,125,720,125_720,CIAP_E 2016_125_720,CIAP_E 2016_125_720_Soft,Soft,18:39:07,527711947,719252,Sea whip,Halipteris californica,1,96.6,36.69710785,36.69710785,,74.14,90.24
