Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:01:43,464374903,611773,White-plumed anemone,Metridium farcimen,2.5,56.4,41.32596119,41.32596119,,122.88,54.14
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:01:44,464374904,611773,White-plumed anemone,Metridium farcimen,2.5,56,41.32596093,41.32596093,,123,54.2
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:01:45,464374905,611773,White-plumed anemone,Metridium farcimen,2.5,55.8,41.32596067,41.32596067,,123.12,54.26
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:01:46,464374906,611773,White-plumed anemone,Metridium farcimen,2.5,55.7,41.32596041,41.32596041,,123.24,54.46
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard_Mixed,Hard_Mixed,17:02:07,464374927,81,UI anemone,Unidentified Actiniaria,1,57.3,41.32595646,41.32595646,,126.7,59.54
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard_Mixed,Hard_Mixed,17:02:35,464374955,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,2,57.2,41.32596031,41.32596031,,132.51,62.49
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:02:39,464374959,157270,Rainbow star,Orthasterias koehleri,1,57.1,41.32596012,41.32596012,,133.44,62.95
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:02:45,464374965,157113,Cushion star,Pteraster tesselatus,1,57,41.32595979,41.32595979,,134.6,63.62
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:02:52,464374972,948935,Slipper sea cucumber,Psolus chitonoides,1,57.1,41.32595967,41.32595967,,135.72,64.08
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard_Mixed,Hard_Mixed,17:03:03,464374983,948935,Slipper sea cucumber,Psolus chitonoides,1,56.8,41.32596568,41.32596568,,137.76,65.28
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard_Mixed,Hard_Mixed,17:03:04,464374984,948935,Slipper sea cucumber,Psolus chitonoides,3,56.8,41.32596647,41.32596647,,137.98,65.4
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:03:06,464374986,948935,Slipper sea cucumber,Psolus chitonoides,1,56.7,41.32596789,41.32596789,,138.45,65.7
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:03:07,464374987,948935,Slipper sea cucumber,Psolus chitonoides,1,56.6,41.32596851,41.32596851,,138.69,65.78
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Soft,Soft,17:03:13,464374993,948935,Slipper sea cucumber,Psolus chitonoides,1,56.5,41.32597166,41.32597166,X,0,0
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:03:19,464374999,611773,White-plumed anemone,Metridium farcimen,1,56.4,41.32597181,41.32597181,,141.76,67.76
NCMPA 2014,North,2014,09/18/2014,Reading Rock,Reading Rock,SMR,MPA,RR1,9,930,9_930,NCMPA 2014_9_930,NCMPA 2014_9_930_Hard,Hard,17:03:22,464375002,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,55.8,41.3259705,41.3259705,,142.51,68.08
