Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:45:18,465255918,157272,Fish eating star,Stylasterias forreri,1,86.6,40.19325372,40.19325372,,20.48,9.93
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:45:39,465255939,157272,Fish eating star,Stylasterias forreri,1,86.6,40.19329713,40.19329713,,34.04,16.56
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:46:09,465255969,82590,UI octopus,Unidentified Octopodidae,1,86.3,40.19332047,40.19332047,,42.17,21.28
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:46:13,465255973,157272,Fish eating star,Stylasterias forreri,1,86.4,40.19332811,40.19332811,,43.62,22.3
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:46:16,465255976,157272,Fish eating star,Stylasterias forreri,1,86.4,40.19333356,40.19333356,,44.71,23.16
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:46:19,465255979,82590,UI octopus,Unidentified Octopodidae,1,86.4,40.19333825,40.19333825,,45.81,23.98
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:46:39,465255999,82590,UI octopus,Unidentified Octopodidae,1,86.6,40.19337402,40.19337402,,51.57,27.84
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Soft,Soft,21:46:57,465256017,157272,Fish eating star,Stylasterias forreri,1,86.6,40.19340538,40.19340538,,55.16,29.76
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Hard_Mixed,Hard_Mixed,21:47:28,465256048,157011,Red sea star,Mediaster aequalis,1,85.5,40.19343743,40.19343743,,61.26,33.52
CIAP_C 2014,North Coast,2014,09/28/2014,Sea Lion Gulch,Sea Lion Gulch,Reference,Reference,SL3,70,1250,70_1250,CIAP_C 2014_70_1250,CIAP_C 2014_70_1250_Hard,Hard,21:47:38,465256058,719219,Short red gorgonian,Swiftia spauldingi,2,86,40.19345556,40.19345556,,63.94,35.96
