Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,LineID,TransectID,Hab_Transect_ID,Habitat_Type,TC,Sec,Taxserial,CommonName,SpeciesName,Count,Depth (m),Lat,lon,Unusable_Data,Cumulative Dist (m),Cumulative Area (m2)
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard,Hard,21:15:31,465945331,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,2,58.7,39.5856208,39.5856208,,0.13,0.13
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard,Hard,21:15:37,465945337,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,59.1,39.58561211,39.58561211,,1.2,1.5
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard,Hard,21:15:48,465945348,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,3,58.9,39.58557472,39.58557472,,5.92,10.64
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard,Hard,21:15:50,465945350,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,3,58.8,39.58556729,39.58556729,,6.96,12.39
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard,Hard,21:15:51,465945351,611773,White-plumed anemone,Metridium farcimen,1,58.7,39.58556383,39.58556383,,7.47,13.09
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard,Hard,21:16:15,465945375,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,59.4,39.58552396,39.58552396,,14.55,20.4
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard_Mixed,Hard_Mixed,21:16:19,465945379,948935,Slipper sea cucumber,Psolus chitonoides,4,58.9,39.58551982,39.58551982,,15.39,20.89
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard_Mixed,Hard_Mixed,21:16:30,465945390,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,59.8,39.58550841,39.58550841,,17.7,23.78
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard_Mixed,Hard_Mixed,21:16:33,465945393,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,59.7,39.5855053,39.5855053,,18.33,24.45
NCMPA 2014,North,2014,10/06/2014,Ten Mile,Ten Mile,SMR,MPA,TM1,24,900,24_900,NCMPA 2014_24_900,NCMPA 2014_24_900_Hard,Hard,21:16:36,465945396,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,2,59.7,39.58550219,39.58550219,,18.96,24.87
