,MPA,MPA.Hard.substrate,MPA.Hard.sd,MPA.Hard.mixed.substrate,MPA.Hard.mixed.sd,MPA.Soft.mixed.substrate,MPA.Soft.mixed.sd,MPA.Soft.substrate,MPA.Soft.sd,Ref.Hard.substrate,Ref.Hard.sd,Ref.Hard.mixed.substrate,Ref.Hard.mixed.sd,Ref.Soft.mixed.substrate,Ref.Soft.mixed.sd,Ref.Soft.substrate,Ref.Soft.sd,n1,n2,x2,p,Test
1,Ano Nuevo,222.0344444,124.9294623,91.88777778,65.74330608,4.022222222,9.192145802,138.0933333,149.6692321,283.365,123.0649066,104.422,65.34135526,2.442,4.758332574,106.363,125.4602789,9,9,NA,0.007766462,Fisher
2,Big Creek,102.735,70.07368764,33.03,36.49029734,0,0,405.365,148.4192893,336.789,151.6981247,133.4565,78.5046328,2.3995,7.687392601,186.402,144.6421383,4,20,NA,7.13E-59,Fisher
3,Bodega Bay,366.8842029,131.8657422,72.22405797,65.05032808,5.23826087,13.5798969,90.45449275,100.6861632,432.8004494,136.6806553,49.43454545,41.03048155,7.35641791,16.80887083,90.96627907,110.2883264,57,34,8.196679253,0.042117099,x2
4,Campus Point,1.745833333,6.498562327,7.071666667,23.58486576,70.46166667,112.0796643,435.7216667,133.1871767,1.713846154,3.536911408,10.70384615,20.15668853,8.350769231,15.58289044,471.4369231,133.7486665,22,12,NA,2.43E-13,Fisher
5,Carrington Point,267.3407407,146.5383516,225.1213889,143.1050011,79.40518519,128.9950459,220.242037,153.2732314,245.4609278,149.5908796,316.1343299,194.4281547,9.585670103,19.52688163,238.1728866,157.8373641,87,62,71.53974575,2.00E-15,x2
6,Farallon Islands,315.7245946,140.6058289,159.7981081,84.40949624,2.199459459,5.82962451,162.4437838,128.3479933,450.3108889,118.5426907,71.96822222,35.09746613,6.877692308,14.80212155,105.8993182,119.0362571,35,25,NA,5.84E-16,Fisher
7,Farnsworth,69.648,37.98194829,83.209,29.46883305,29.637,52.99127812,381.261,121.2882856,72.17466667,71.27451447,72.398,51.88384998,0,0,425.542,139.8104368,10,14,32.82882689,3.50E-07,x2
8,Gull Island,134.3046386,59.71152057,153.5527108,65.35010378,6.332289157,10.69462724,515.0896386,126.3949201,201.430137,165.1411055,171.5875342,125.2855432,6.591164384,16.371371,386.3990411,180.8711679,68,108,31.63262198,6.25E-07,x2
9,Harris Point,285.2344643,174.5601142,169.819375,99.38990409,5.235625,11.53472382,343.1403571,183.1907014,644.0906849,227.5554821,137.4083562,91.828837,3.810821918,8.424660025,60.97767123,112.9871049,83,64,NA,7.45E-79,Fisher
10,Pillar Point,374.84,77.69399934,61.54,42.2334875,1.6375,3.275,80.975,35.71866412,356.26,154.3105075,90.28,49.90561005,3.535,5.3088659,146.35375,132.3990196,4,8,NA,0.000106941,Fisher
11,Point Arena,279.4064706,170.2118514,87.37470588,117.104274,11.26058824,25.28307004,172.0788235,156.8824047,306.5581818,181.9321143,42.85545455,27.10956969,6.681333333,14.91345934,189.932381,189.2617652,17,10,18.51126991,0.000344976,x2
12,Point Buchon,388.8053571,208.1326408,163.4485714,126.6373056,1.1725,3.580158072,265.965,243.3642241,503.6066667,211.7096914,61.60611111,53.34291761,6.249166667,15.3686708,116.4691667,158.5778937,48,35,NA,3.96E-25,Fisher
13,Point Conception,49.73272727,134.0323513,37.505,45.37846057,2.976818182,8.103331112,407.0822727,155.860471,189.3427273,211.3902441,82.83545455,120.7116385,56.13545455,114.94072,211.5190909,176.4583263,19,11,206.8345696,0,x2
14,Point Lobos,379.4885484,192.5268218,88.22870968,68.07440345,14.22967742,24.25060438,221.6819355,172.8209981,414.1396667,142.3049244,99.92233333,61.78589297,8.308333333,26.23996111,166.0856667,129.9918384,47,29,11.60251415,0.008876552,x2
15,Point St. George,249.5727273,192.9514007,48.74818182,39.82677882,0,0,303.5304545,290.0880435,273.168,196.429507,46.08266667,52.35073768,4.086923077,6.678827722,342.5706667,390.1633403,13,7,NA,0.263750387,Fisher
16,Point Sur,592.0546154,218.9517399,116.1952308,94.82688167,38.626,99.26990255,67.05615385,90.30092003,575.2311628,212.6096685,63.98348837,59.93886353,16.85384615,17.42299126,72.04190476,75.83121364,62,26,19.37875295,0.00022827,x2
17,Portuguese Ledge,251.1941667,153.6343338,97.32666667,56.38681879,7.190833333,22.19807054,261.7541667,121.6748013,89.97636364,60.51249842,30.07545455,28.10846434,0,0,451.56,120.0097913,11,10,NA,6.56E-38,Fisher
18,Reading Rock,269.4647368,168.93813,37.24,65.48164637,6.996315789,12.87128769,200.9126316,363.1054905,375.1836842,219.860229,33.59421053,54.68288848,34.25,87.81216812,162.5994737,280.7799215,13,13,32.39050602,4.33E-07,x2
19,Sea Lion Gulch,358.32,103.4932408,161.4358333,118.6124489,0.040833333,0.141450816,94.97083333,39.09986084,282.1011111,208.5867956,100.8477778,116.9735353,6.066666667,18.2,104.6844444,141.0351741,6,8,NA,0.000619596,Fisher
20,South La Jolla,111.58,160.184,152.2467,150.8665,83.49333,63.08431,128.08,150.4379,136.0175,140.588,220.7733,263.7638,121.7933,183.7237,137.3567,199.8232,10,14,NA,0.1992279,Fisher
21,South Point,137.71656,92.95487974,211.84072,98.34628606,5.24408,12.15934216,440.93952,155.4959007,301.0495833,177.7876616,269.8014583,149.4305882,5.555416667,15.90535216,280.7763542,164.1094379,74,64,101.1848613,0,x2
