,MPA,Designation,Substrate,Proportion,Error,Total distance,Transect distance in meters,Percentage
1,Anacapa Island,MPA,Hard,0.248853629,0.011559528,113172.2413,28163.32294,24.89%
2,Ano Nuevo,MPA,Hard,0.460302518,0.131266611,2082.038271,958.3674589,46.03%
3,Big Creek,MPA,Hard,0.192686791,0.056345473,1770.181456,341.0905843,19.27%
4,Bodega Bay,MPA,Hard,0.665083351,0.031642803,24227.09151,16113.0352,66.51%
5,Campus Point,MPA,Hard,0.025395343,0.012029287,5919.514153,150.3280923,2.54%
6,Carrington Point,MPA,Hard,0.340793575,0.018168404,46317.27714,15784.63046,34.08%
7,Farallon Islands,MPA,Hard,0.479931127,0.04769679,13120.34605,6296.862467,47.99%
8,Farnsworth,MPA,Hard,0.142260709,0.024186678,4326.288248,615.4608335,14.23%
9,Gull Island,MPA,Hard,0.170398303,0.005802464,73345.09233,12497.87927,17.04%
10,Harris Point,MPA,Hard,0.354752029,0.017867575,47740.98172,16936.21013,35.48%
11,N/A,MPA,Hard,0.717991359,0.036163002,9748.515449,6999.349856,71.80%
12,Pillar Point,MPA,Hard,0.733317407,0.064048616,1965.262721,1441.161362,73.33%
13,Point Arena,MPA,Hard,0.527247776,0.073470348,8443.086369,4451.598511,52.72%
14,Point Buchon,MPA,Hard,0.499375136,0.030812753,28379.47435,14172.00387,49.94%
15,Point Conception,MPA,Hard,0.031075228,0.014951336,5844.265706,181.6118893,3.11%
16,Point Lobos,MPA,Hard,0.543437407,0.026161764,28301.37348,15380.02502,54.34%
17,Point St. George,MPA,Hard,0.517375642,0.044912296,13154.45251,6805.79331,51.74%
18,Point Sur,MPA,Hard,0.729554645,0.026578266,24633.71282,17971.63961,72.96%
19,Portuguese Ledge,MPA,Hard,0.407492071,0.092092538,3149.530062,1283.408528,40.75%
20,Reading Rock,MPA,Hard,0.807333181,0.043407395,11062.03886,8930.75102,80.73%
21,Sea Lion Gulch,MPA,Hard,0.59542184,0.054777623,5306.884182,3159.834744,59.54%
22,South La Jolla,MPA,Hard,0.163036138,0.059019173,4638.559377,756.2528067,16.30%
23,South Point,MPA,Hard,0.177800506,0.011575454,54131.38455,9624.587564,17.78%
24,Swami's,MPA,Hard,0.056808105,0.028805091,2934.874112,166.7246367,5.68%
25,Ten Mile,MPA,Hard,0.458716387,0.047228827,12737.46919,5842.885848,45.87%
26,Anacapa Island,MPA,Hard_Mixed,0.265159504,0.008681057,113172.2413,30008.69536,26.52%
27,Ano Nuevo,MPA,Hard_Mixed,0.220850105,0.056427829,2082.038271,459.8183709,22.09%
28,Big Creek,MPA,Hard_Mixed,0.05172038,0.026252923,1770.181456,91.55445759,5.17%
29,Bodega Bay,MPA,Hard_Mixed,0.152942077,0.018044085,24227.09151,3705.341694,15.29%
30,Campus Point,MPA,Hard_Mixed,0.012869692,0.003137509,5919.514153,76.18232394,1.29%
31,Carrington Point,MPA,Hard_Mixed,0.288735704,0.017872125,46317.27714,13373.45162,28.87%
32,Farallon Islands,MPA,Hard_Mixed,0.266749109,0.024154424,13120.34605,3499.840619,26.67%
33,Farnsworth,MPA,Hard_Mixed,0.141215262,0.015755716,4326.288248,610.9379285,14.12%
34,Gull Island,MPA,Hard_Mixed,0.184988786,0.005364008,73345.09233,13568.01959,18.50%
35,Harris Point,MPA,Hard_Mixed,0.199635219,0.011540459,47740.98172,9530.78134,19.96%
36,N/A,MPA,Hard_Mixed,0.221824664,0.030625627,9748.515449,2162.461164,22.18%
37,Pillar Point,MPA,Hard_Mixed,0.10897702,0.03783048,1965.262721,214.1684748,10.90%
38,Point Arena,MPA,Hard_Mixed,0.147019928,0.044430981,8443.086369,1241.30195,14.70%
39,Point Buchon,MPA,Hard_Mixed,0.212339279,0.018947254,28379.47435,6026.077123,21.23%
40,Point Conception,MPA,Hard_Mixed,0.08271038,0.036536913,5844.265706,483.3814373,8.27%
41,Point Lobos,MPA,Hard_Mixed,0.119853916,0.010091516,28301.37348,3392.03044,11.99%
42,Point St. George,MPA,Hard_Mixed,0.105982447,0.01470536,13154.45251,1394.141066,10.60%
43,Point Sur,MPA,Hard_Mixed,0.140997074,0.015689686,24633.71282,3473.28143,14.10%
44,Portuguese Ledge,MPA,Hard_Mixed,0.153802921,0.045425648,3149.530062,484.4069233,15.38%
45,Reading Rock,MPA,Hard_Mixed,0.097196403,0.03076946,11062.03886,1075.190387,9.72%
46,Sea Lion Gulch,MPA,Hard_Mixed,0.245481694,0.046450592,5306.884182,1302.742919,24.55%
47,South La Jolla,MPA,Hard_Mixed,0.130405058,0.022407414,4638.559377,604.8916046,13.04%
48,South Point,MPA,Hard_Mixed,0.250822281,0.009839171,54131.38455,13577.35735,25.08%
49,Swami's,MPA,Hard_Mixed,0.07022576,0.024787561,2934.874112,206.103765,7.02%
50,Ten Mile,MPA,Hard_Mixed,0.101833327,0.017136251,12737.46919,1297.098865,10.18%
51,Anacapa Island,MPA,Soft_Mixed,0.033661734,0.005568929,113172.2413,3809.573882,3.37%
52,Ano Nuevo,MPA,Soft_Mixed,0.02521813,0,2082.038271,52.50511179,2.52%
53,Big Creek,MPA,Soft_Mixed,0,0,1770.181456,0,0.00%
54,Bodega Bay,MPA,Soft_Mixed,0.017567196,0.003644818,24227.09151,425.602065,1.76%
55,Campus Point,MPA,Soft_Mixed,0.109252516,0.04765875,5919.514153,646.7218147,10.93%
56,Carrington Point,MPA,Soft_Mixed,0.169671485,0.0217374,46317.27714,7858.721193,16.97%
57,Farallon Islands,MPA,Soft_Mixed,0.018274527,0.005834784,13120.34605,239.7681182,1.83%
58,Farnsworth,MPA,Soft_Mixed,0.175101348,0.055346912,4326.288248,757.5389041,17.51%
59,Gull Island,MPA,Soft_Mixed,0.012849224,0.001361608,73345.09233,942.4275206,1.28%
60,Harris Point,MPA,Soft_Mixed,0.014802818,0.003318945,47740.98172,706.7010635,1.48%
61,N/A,MPA,Soft_Mixed,0.034168679,0.031892118,9748.515449,333.0938951,3.42%
62,Pillar Point,MPA,Soft_Mixed,0.013226876,0,1965.262721,25.99428631,1.32%
63,Point Arena,MPA,Soft_Mixed,0.073117315,0.024993584,8443.086369,617.3358056,7.31%
64,Point Buchon,MPA,Soft_Mixed,0.012363008,0.002865285,28379.47435,350.8556685,1.24%
65,Point Conception,MPA,Soft_Mixed,0.032689975,0.008517687,5844.265706,191.0488998,3.27%
66,Point Lobos,MPA,Soft_Mixed,0.034262831,0.008066148,28301.37348,969.6851766,3.43%
67,Point St. George,MPA,Soft_Mixed,0,0,13154.45251,0,0.00%
68,Point Sur,MPA,Soft_Mixed,0.127593043,0.046258137,24633.71282,3143.090379,12.76%
69,Portuguese Ledge,MPA,Soft_Mixed,0,0,3149.530062,0,0.00%
70,Reading Rock,MPA,Soft_Mixed,0.048150245,0.018120543,11062.03886,532.6398812,4.82%
71,Sea Lion Gulch,MPA,Soft_Mixed,0.00107432,0,5306.884182,5.701291814,0.11%
72,South La Jolla,MPA,Soft_Mixed,0.024652369,0.012135556,4638.559377,114.3514774,2.47%
73,South Point,MPA,Soft_Mixed,0.016974102,0.003148647,54131.38455,918.8316428,1.70%
74,Swami's,MPA,Soft_Mixed,0.081185616,0.033007013,2934.874112,238.2695626,8.12%
75,Ten Mile,MPA,Soft_Mixed,0,0,12737.46919,0,0.00%
76,Anacapa Island,MPA,Soft,0.480113179,0.01222436,113172.2413,54335.48453,48.01%
77,Ano Nuevo,MPA,Soft,0.312542845,0.146841274,2082.038271,650.7261647,31.25%
78,Big Creek,MPA,Soft,0.755592828,0.081303488,1770.181456,1337.536413,75.56%
79,Bodega Bay,MPA,Soft,0.192966455,0.027868371,24227.09151,4675.015963,19.30%
80,Campus Point,MPA,Soft,0.930445111,0.027460366,5919.514153,5507.783003,93.04%
81,Carrington Point,MPA,Soft,0.281543409,0.017151189,46317.27714,13040.3241,28.15%
82,Farallon Islands,MPA,Soft,0.249258759,0.040236422,13120.34605,3270.361175,24.93%
83,Farnsworth,MPA,Soft,0.663993625,0.045277022,4326.288248,2872.627817,66.40%
84,Gull Island,MPA,Soft,0.637841024,0.007153707,73345.09233,46782.50879,63.78%
85,Harris Point,MPA,Soft,0.446508524,0.020610384,47740.98172,21316.75528,44.65%
86,N/A,MPA,Soft,0.075398159,0.011911949,9748.515449,735.0201179,7.54%
