Habitat_patch,Habitat_Type,TC,SpeciesName,Count
1,Soft,15:25:59,Sebastes semicinctus,1.0
1,Soft,15:26:08,Unidentified Pleuronectidae,1.0
1,Soft,15:26:40,Unidentified Pleuronectidae,1.0
1,Soft,15:26:51,Unidentified Pleuronectidae,1.0
1,Soft,15:27:48,Unidentified Pleuronectidae,1.0
1,Soft,15:28:06,Sebastes semicinctus,1.0
1,Soft,15:28:17,Unidentified Sebastes sp.,3.0
1,Soft,15:28:28,Sebastes semicinctus,1.0
2,Hard,15:28:42,Unidentified Sebastes sp.,1.0
2,Hard,15:29:06,Unidentified Sebastes sp.,5.0
2,Hard,15:29:07,Unidentified Sebastomus sp.,1.0
3,Hard_Mixed,15:29:14,Unidentified Sebastes sp.,8.0
4,Hard,15:29:42,Unidentified Sebastomus sp.,1.0
4,Hard,15:29:47,Unidentified Sebastomus sp.,1.0
4,Hard,15:29:49,Unidentified Sebastes sp.,1.0
5,Hard_Mixed,15:30:31,Sebastes semicinctus,6.0
5,Hard_Mixed,15:30:41,Sebastes semicinctus,1.0
6,Hard,15:30:46,Unidentified Sebastomus sp.,2.0
6,Hard,15:31:29,Unidentified Sebastes sp.,1.0
7,Soft,15:31:42,Unidentified Sebastomus sp.,1.0
8,Hard_Mixed,15:31:46,Unidentified Sebastes sp.,2.0
9,Hard,15:31:47,Unidentified Sebastomus sp.,1.0
9,Hard,15:32:00,Unidentified Sebastomus sp.,1.0
9,Hard,15:32:01,Unidentified Sebastes sp.,1.0
9,Hard,15:32:11,Unidentified Sebastes sp.,2.0
10,Hard_Mixed,15:32:24,Sebastes hopkinsi,7.0
11,Hard,15:32:27,Unidentified Sebastes sp.,1.0
11,Hard,15:32:28,Unidentified Sebastes sp.,1.0
11,Hard,15:32:30,Sebastes hopkinsi,8.0
11,Hard,15:32:43,Sebastes hopkinsi,13.0
11,Hard,15:32:56,Unidentified Sebastomus sp.,1.0
11,Hard,15:33:08,Unidentified Sebastes sp.,1.0
11,Hard,15:33:22,Unidentified Sebastes sp.,3.0
11,Hard,15:33:40,Sebastes hopkinsi,1.0
11,Hard,15:33:40,Unidentified Sebastes sp.,1.0
11,Hard,15:34:20,Sebastes mystinus,1.0
11,Hard,15:34:26,Sebastes hopkinsi,1.0
11,Hard,15:34:33,Unidentified Sebastes sp.,20.0
11,Hard,15:35:49,Sebastes hopkinsi,4.0
11,Hard,15:36:06,Unidentified Sebastomus sp.,1.0
11,Hard,15:36:12,Unidentified Sebastes sp.,22.0
11,Hard,15:36:32,Unidentified Sebastes sp.,1.0
11,Hard,15:36:41,Unidentified Sebastes sp.,3.0
11,Hard,15:36:47,Unidentified Sebastomus sp.,1.0
11,Hard,15:36:52,Unidentified Sebastes sp.,6.0
11,Hard,15:36:59,Unidentified Sebastomus sp.,2.0
