Habitat_patch,Habitat_Type,TC,SpeciesName,Count
1,Soft,15:26:00,Mediaster aequalis,1.0
1,Soft,15:26:05,Mediaster aequalis,1.0
1,Soft,15:26:11,Mediaster aequalis,1.0
1,Soft,15:26:13,Mediaster aequalis,1.0
1,Soft,15:26:45,Mediaster aequalis,5.0
1,Soft,15:26:50,Mediaster aequalis,2.0
1,Soft,15:26:52,Mediaster aequalis,3.0
1,Soft,15:26:59,Mediaster aequalis,4.0
1,Soft,15:27:46,Mediaster aequalis,2.0
1,Soft,15:27:50,Mediaster aequalis,1.0
1,Soft,15:27:51,Mediaster aequalis,1.0
1,Soft,15:27:57,Mediaster aequalis,2.0
1,Soft,15:28:04,Luidia foliolata,1.0
1,Soft,15:28:18,Mediaster aequalis,3.0
1,Soft,15:28:21,Mediaster aequalis,1.0
2,Hard_Mixed,15:28:34,Gorgonocephalus eucnemis,1.0
3,Hard,15:28:39,Gorgonocephalus eucnemis,1.0
3,Hard,15:28:39,Mediaster aequalis,1.0
3,Hard,15:28:42,Unidentified Henricia sp.,1.0
3,Hard,15:28:49,Mediaster aequalis,1.0
3,Hard,15:28:54,Mediaster aequalis,1.0
3,Hard,15:28:56,Mediaster aequalis,2.0
3,Hard,15:28:58,Unidentified Henricia sp.,1.0
3,Hard,15:28:59,Mediaster aequalis,1.0
3,Hard,15:29:01,Unidentified Porifera (boot),1.0
3,Hard,15:29:06,Mediaster aequalis,2.0
3,Hard,15:29:46,Mediaster aequalis,2.0
3,Hard,15:29:50,Mediaster aequalis,1.0
4,Soft,15:30:03,Mediaster aequalis,1.0
4,Soft,15:30:08,Mediaster aequalis,1.0
4,Soft,15:30:15,Mediaster aequalis,1.0
4,Soft,15:30:18,Mediaster aequalis,1.0
4,Soft,15:30:21,Luidia foliolata,1.0
4,Soft,15:30:21,Mediaster aequalis,1.0
5,Hard_Mixed,15:30:33,Luidia foliolata,1.0
6,Hard,15:31:06,Apostichopus californicus /syn./ Parastichopus californicus,1.0
6,Hard,15:32:00,Unidentified Porifera or Bryozoa,1.0
7,Soft,15:32:16,Mediaster aequalis,2.0
7,Soft,15:32:22,Mediaster aequalis,1.0
8,Hard,15:32:30,Mediaster aequalis,3.0
8,Hard,15:32:36,Swiftia spauldingi,1.0
8,Hard,15:32:40,Swiftia spauldingi,2.0
8,Hard,15:32:50,Mediaster aequalis,2.0
8,Hard,15:32:59,Swiftia spauldingi,2.0
8,Hard,15:33:01,Swiftia spauldingi,1.0
9,Hard_Mixed,15:33:12,Mediaster aequalis,2.0
10,Hard,15:33:31,Urticina piscivora,1.0
10,Hard,15:33:39,Unidentified Porifera or Bryozoa,1.0
10,Hard,15:33:42,Unidentified Porifera or Bryozoa,1.0
10,Hard,15:33:44,Swiftia spauldingi,2.0
10,Hard,15:33:56,Unidentified Porifera or Bryozoa,1.0
10,Hard,15:33:58,Unidentified Henricia sp.,1.0
10,Hard,15:33:58,Unidentified Porifera or Bryozoa,3.0
10,Hard,15:33:59,"Pisaster brevispinus, ochraceus, or giganteus",1.0
10,Hard,15:34:00,Unidentified Porifera or Bryozoa,3.0
10,Hard,15:34:06,Unidentified Porifera or Bryozoa,1.0
10,Hard,15:34:10,Swiftia spauldingi,1.0
10,Hard,15:34:16,Unidentified Porifera or Bryozoa,1.0
10,Hard,15:34:18,Unidentified Porifera (branched),2.0
10,Hard,15:34:18,Unidentified Porifera or Bryozoa,2.0
10,Hard,15:34:20,Swiftia spauldingi,1.0
10,Hard,15:34:26,Mediaster aequalis,1.0
10,Hard,15:34:26,Swiftia spauldingi,2.0
10,Hard,15:34:28,Swiftia spauldingi,1.0
10,Hard,15:34:37,Unidentified Porifera or Bryozoa,2.0
10,Hard,15:35:54,Swiftia spauldingi,1.0
10,Hard,15:35:56,Swiftia spauldingi,1.0
10,Hard,15:35:59,Swiftia spauldingi,2.0
10,Hard,15:36:02,Anthomastus ritteri /syn./ Heteropolypus ritteri,1.0
10,Hard,15:36:03,Swiftia spauldingi,3.0
10,Hard,15:36:05,Swiftia spauldingi,4.0
10,Hard,15:36:06,Swiftia spauldingi,5.0
10,Hard,15:36:08,Swiftia spauldingi,2.0
10,Hard,15:36:28,Swiftia spauldingi,1.0
10,Hard,15:36:36,Swiftia spauldingi,1.0
10,Hard,15:36:40,Swiftia spauldingi,2.0
10,Hard,15:36:43,Swiftia spauldingi,1.0
10,Hard,15:36:46,Swiftia spauldingi,4.0
10,Hard,15:36:48,Swiftia spauldingi,2.0
10,Hard,15:36:49,Swiftia spauldingi,3.0
10,Hard,15:36:53,Swiftia spauldingi,2.0
10,Hard,15:36:57,Unidentified Asteroidea,1.0
10,Hard,15:36:59,Swiftia spauldingi,4.0
10,Hard,15:37:45,Swiftia spauldingi,2.0
10,Hard,15:37:48,Swiftia spauldingi,6.0
10,Hard,15:37:53,Leptogorgia chilensis,2.0
10,Hard,15:37:54,Swiftia spauldingi,2.0
10,Hard,15:37:56,Swiftia spauldingi,2.0
